bad data: 190
NAME: BossLetsPlays-GhostSmasher.jar, ERROR: No methods present.
NAME: Deadlylie182-PrototipoAlfaVideojuegos.jar, ROWS: 1, AVERAGE: 3.0
NAME: samisaf-EquationProgram.jar, ROWS: 2, AVERAGE: 2.5
NAME: AndrewsJava-finet.jar, ROWS: 21, AVERAGE: 1.4285715
NAME: VladimirGreif-TheGreyWolves.jar, ROWS: 1, AVERAGE: 4.0
NAME: bishoybassem-entangled.jar, ROWS: 11, AVERAGE: 2.1818182
NAME: Jorzi-UGTD.jar, ROWS: 6, AVERAGE: 1.0
NAME: Daniel-Oliynyk-SpaceShooter.jar, ROWS: 7, AVERAGE: 2.4285715
NAME: ByzanTine-EECS285-TowerDefense.jar, ROWS: 1, AVERAGE: 1.0
NAME: myasnikovsg-NeuralNetwork.jar, ROWS: 2, AVERAGE: 1.5
NAME: jpuente-Concurrencia.jar, ROWS: 4, AVERAGE: 1.0
NAME: maheshakya-GSOM_With_Kernels.jar, ROWS: 1, AVERAGE: 1.0
NAME: alecdhuse-JavaSVG.jar, ROWS: 4, AVERAGE: 2.25
NAME: JSterling8-KeyboardGame.jar, ROWS: 4, AVERAGE: 1.5
NAME: BojidarBlagoev-Java-Homework-Java-Syntax.jar, ROWS: 2, AVERAGE: 6.0
NAME: maykrosa77-ProjetoIntegrador-1.jar, ROWS: 5, AVERAGE: 2.6
NAME: thegrtman-Ant-Quest.jar, ROWS: 5, AVERAGE: 1.8
NAME: acuerol-PublicTransportCenterClient.jar, ROWS: 10, AVERAGE: 1.3
NAME: sreguera-vpk.jar, ROWS: 11, AVERAGE: 2.4545455
NAME: glfpes-E-books-classify-system.jar, ROWS: 3, AVERAGE: 1.3333334
NAME: dpb06-team-boss-development.jar, ROWS: 1, AVERAGE: 2.0
NAME: victor-fdez-hb-repo.jar, ROWS: 5, AVERAGE: 2.4
NAME: Palachsuper-EBA4.jar, ROWS: 1, AVERAGE: 1.0
NAME: nkg2502-hps2.jar, ROWS: 4, AVERAGE: 1.5
NAME: imifos-NAO4Scratch.jar, ROWS: 1, AVERAGE: 1.0
NAME: greendream-MonkeyLyric.jar, ROWS: 1, AVERAGE: 1.0
NAME: Zwahoo-King-Solomon.jar, ROWS: 8, AVERAGE: 1.375
NAME: sebbekarlsson-TowerDefence.jar, ROWS: 1, AVERAGE: 2.0
NAME: huygct-DesignPattern.jar, ROWS: 2, AVERAGE: 2.5
NAME: pazzini-GUI.jar, ROWS: 7, AVERAGE: 2.5714285
NAME: nanabyte-graphical-model-research.jar, ROWS: 17, AVERAGE: 1.0
NAME: shuttler76-Survivaler.jar, ROWS: 1, AVERAGE: 2.0
NAME: Jarralax-FloraFauneFromMakar.jar, ROWS: 1, AVERAGE: 5.0
NAME: gman-x-jdungeonquest.jar, ROWS: 1, AVERAGE: 1.0
NAME: hitchh1k3r-LD29_AnimusRobotis.jar, ROWS: 8, AVERAGE: 1.25
NAME: chakravarthi-MODTOHAF.jar, ROWS: 9, AVERAGE: 1.2222222
NAME: Muliang-15121.jar, ROWS: 2, AVERAGE: 1.5
NAME: Cybernetick-Strunilin.jar, ROWS: 1, AVERAGE: 4.0
NAME: yts-MasterMind.jar, ROWS: 1, AVERAGE: 1.0
NAME: Jeremy27-Projet_JeuSerieux.jar, ROWS: 35, AVERAGE: 2.2857144
NAME: residuen-SimplePaint.jar, ROWS: 26, AVERAGE: 2.4615386
NAME: jermdax-tds_java_game.jar, ROWS: 7, AVERAGE: 2.2857144
NAME: rowan-ndd-clash_of_hero_clone.jar, ROWS: 3, AVERAGE: 3.0
NAME: keilly-PaintComponent.jar, ROWS: 4, AVERAGE: 2.0
NAME: spock9a8-Game-Template.jar, ROWS: 3, AVERAGE: 1.6666666
NAME: zhughesjd-sst.jar, ROWS: 1, AVERAGE: 3.0
NAME: annerajb-XSHI_A3_MFD.jar, ROWS: 27, AVERAGE: 2.3333333
NAME: manofsteel76667-Othello.jar, ROWS: 1, AVERAGE: 1.0
NAME: Juneve-DouDiZhu.jar, ROWS: 1, AVERAGE: 1.0
NAME: propra12-orga-gruppe26.jar, ROWS: 13, AVERAGE: 1.4615384
NAME: Celsius273-Open_Defence.jar, ROWS: 1, AVERAGE: 2.0
NAME: vmanju-codekata.jar, ROWS: 13, AVERAGE: 1.4615384
NAME: k9m-jharvester.jar, ROWS: 1, AVERAGE: 2.0
NAME: kushal-diagram-server.jar, ROWS: 5, AVERAGE: 4.2
NAME: cbaykal-Java-Programs.jar, ROWS: 3, AVERAGE: 2.0
NAME: dasrajdeep-dfs-maze-gen.jar, ROWS: 6, AVERAGE: 1.0
NAME: ConcoMB-ATI.jar, ROWS: 1, AVERAGE: 2.0
NAME: patosai-chess.jar, ROWS: 1, AVERAGE: 1.0
NAME: dmiron23-GraphDraw.jar, ROWS: 4, AVERAGE: 1.0
NAME: sylvainallard-macwidgets.jar, ROWS: 12, AVERAGE: 2.8333333
NAME: vlasmirnov-MarketSimulator.jar, ROWS: 1, AVERAGE: 3.0
NAME: maxxboehme-A_Mouses_Vengeance.jar, ROWS: 7, AVERAGE: 1.0
NAME: n9Mtq4-GeometryGrapher.jar, ROWS: 1, AVERAGE: 3.0
NAME: garfieldnate-Itadaki.jar, ROWS: 3, AVERAGE: 1.3333334
NAME: eyeswideopen-huffman_encoding.jar, ROWS: 5, AVERAGE: 1.4
NAME: casproteus-javatool.jar, ROWS: 336, AVERAGE: 3.7827382
NAME: pcaillou-InnovNation.jar, ROWS: 29, AVERAGE: 4.2413793
NAME: JosuaKrause-NBTEditor.jar, ROWS: 6, AVERAGE: 2.3333333
NAME: nicktesla-vlab.jar, ROWS: 3, AVERAGE: 1.6666666
NAME: jaideepray1989-ParallelCornerFinder.jar, ROWS: 14, AVERAGE: 1.9285715
NAME: charles-0x4f-c8.jar, ROWS: 1, AVERAGE: 1.0
NAME: Arena06-Arena06Common.jar, ROWS: 12, AVERAGE: 1.8333334
NAME: juliozohar-Java-Snippets.jar, ROWS: 1, AVERAGE: 2.0
NAME: coconetlero-ImageProcessingUtils.jar, ROWS: 2, AVERAGE: 1.0
NAME: TerpInfo-TerpInfo-Project-2.jar, ROWS: 1, AVERAGE: 1.0
NAME: clockworked-gameoflife.jar, ROWS: 4, AVERAGE: 3.0
NAME: ddetoni-CG_Trab1.jar, ROWS: 5, AVERAGE: 3.8
NAME: PatNeedham-Tetris.jar, ROWS: 11, AVERAGE: 1.5454545
NAME: saood1-Hackathon.jar, ROWS: 1, AVERAGE: 1.0
NAME: gjgomez-robocode.jar, ROWS: 6, AVERAGE: 2.3333333
NAME: KarvingWool-asteroids.jar, ROWS: 1, AVERAGE: 1.0
NAME: nzyuzin-CandideRL.jar, ROWS: 1, AVERAGE: 3.0
NAME: WenyuChang-DataStructureDeepImpl.jar, ROWS: 26, AVERAGE: 1.4615384
NAME: ternovsky-Planner.jar, ROWS: 1, AVERAGE: 2.0
NAME: Qbit42-Qtracer.jar, ROWS: 11, AVERAGE: 2.8181818
NAME: rwill128-ricks-nn-mods.jar, ROWS: 18, AVERAGE: 2.2222223
NAME: sa-tsuklog-AviationSimulator2.jar, ROWS: 22, AVERAGE: 2.0
NAME: paulaceccon-ComputationalGeometry.jar, ROWS: 6, AVERAGE: 1.0
NAME: IPV-1-TP1.jar, ROWS: 16, AVERAGE: 1.3125
NAME: Markush2010-pxchat.jar, ROWS: 5, AVERAGE: 2.4
NAME: R167-ap-comp-sci.jar, ROWS: 2, AVERAGE: 3.5
NAME: Cris92bb-Durak.jar, ROWS: 7, AVERAGE: 2.857143
NAME: caseyscarborough-j-asteroids.jar, ROWS: 2, AVERAGE: 1.0
NAME: kstenschke-copypastestack-plugin.jar, ROWS: 1, AVERAGE: 2.0
NAME: gabrieltavaresmelo-jPetriNetsSim.jar, ROWS: 4, AVERAGE: 1.25
NAME: fedaykinofdune-BitcoinRoulette.jar, ROWS: 1, AVERAGE: 1.0
NAME: Top-Cat-JavaBreadBoard.jar, ROWS: 3, AVERAGE: 1.6666666
NAME: liuxuewei-tobraille.jar, ROWS: 2, AVERAGE: 2.5
NAME: alaneric1618-pacman.jar, ROWS: 2, AVERAGE: 1.0
NAME: davity-Patrones.jar, ROWS: 10, AVERAGE: 1.4
NAME: taz40-Hacker-simulation.jar, ROWS: 1, AVERAGE: 2.0
NAME: nachosgrande-System-Prototype.jar, ROWS: 2, AVERAGE: 3.0
NAME: zivanovic-msql_db_worker_helper.jar, ROWS: 4, AVERAGE: 2.5
NAME: Lisergishnu-Brave-Disappointed-Burst.jar, ROWS: 17, AVERAGE: 2.1176472
NAME: klinginE-project2.jar, ROWS: 1, AVERAGE: 2.0
NAME: admanic-IntelligAnts.jar, ROWS: 1, AVERAGE: 1.0
NAME: kieda-chinese-character-recognition-engine.jar, ROWS: 3, AVERAGE: 2.0
NAME: coderodde-apijcode.jar, ROWS: 7, AVERAGE: 1.0
NAME: ren-ding-MapEditor.jar, ROWS: 1, AVERAGE: 1.0
NAME: KokaKiwi-MCLauncher.jar, ROWS: 1, AVERAGE: 1.0
NAME: qbassqbass-animated-dubstep.jar, ROWS: 2, AVERAGE: 1.0
NAME: jointheleague-SpaceDodger.jar, ROWS: 1, AVERAGE: 2.0
NAME: kevinjdolan-darwin.jar, ROWS: 13, AVERAGE: 1.1538461
NAME: Elexia12-ProyectoParadigmas.jar, ROWS: 1, AVERAGE: 1.0
NAME: xoebus-bacon.jar, ROWS: 8, AVERAGE: 1.0
NAME: weidays-parentsbank.jar, ROWS: 1, AVERAGE: 2.0
NAME: darkFunction-darkFunction-Editor.jar, ROWS: 3, AVERAGE: 2.6666667
NAME: qgeffard-enclos.jar, ROWS: 5, AVERAGE: 2.0
NAME: Cjsheaf-Particle-System.jar, ROWS: 8, AVERAGE: 1.125
NAME: Uwy-UwyGraph.jar, ROWS: 2, AVERAGE: 1.0
NAME: inickt-Adv.-Computer-Science-Q1-Project.jar, ROWS: 1, AVERAGE: 1.0
NAME: ustadho-validasi.jar, ROWS: 4, AVERAGE: 5.0
NAME: rattias-mscviewer.jar, ROWS: 14, AVERAGE: 1.5
NAME: iak10-JuliaMandelbrot.jar, ROWS: 5, AVERAGE: 1.0
NAME: andrewiggins-Graph.jar, ROWS: 7, AVERAGE: 2.2857144
NAME: clee749-DescentMap.jar, ROWS: 3, AVERAGE: 1.0
NAME: FlashYoshi-Kirbio.jar, ROWS: 1, AVERAGE: 1.0
NAME: tlstyer-netacquireclient.jar, ROWS: 2, AVERAGE: 2.0
NAME: BingleyJ-TopDownYukYuk.jar, ROWS: 1, AVERAGE: 1.0
NAME: mystertb-HerbinKinect.jar, ROWS: 10, AVERAGE: 1.4
NAME: baydet-image_processing.jar, ROWS: 1, AVERAGE: 1.0
NAME: miroshko-SubtitlePlayer.jar, ROWS: 1, AVERAGE: 1.0
NAME: scicek-Visual-Sorting.jar, ROWS: 2, AVERAGE: 1.5
NAME: majutsushi-dungeonmapper.jar, ROWS: 1, AVERAGE: 3.0
NAME: g3force-SoS.jar, ROWS: 10, AVERAGE: 2.3
NAME: smanilov-ExploreMandelbrot.jar, ROWS: 11, AVERAGE: 2.0
NAME: jonsource-Fitts.jar, ROWS: 7, AVERAGE: 1.2857143
NAME: TrentCoder-JIPT.jar, ROWS: 1, AVERAGE: 1.0
NAME: filfirst-egraphviztool.jar, ROWS: 11, AVERAGE: 2.8181818
NAME: brendanofallon-SunFish.jar, ROWS: 91, AVERAGE: 1.7472527
NAME: praisecatgod-ramble-on.jar, ROWS: 2, AVERAGE: 1.0
NAME: chengshuguang-Tank.jar, ROWS: 3, AVERAGE: 1.0
NAME: Ploppz-MercuryFrog.jar, ROWS: 3, AVERAGE: 4.0
NAME: adilakhter-UVa.jar, ROWS: 3, AVERAGE: 4.6666665
NAME: mrferreira-ads-ii-estoque.jar, ROWS: 1, AVERAGE: 1.0
NAME: pcmakine-TiraLabra.jar, ROWS: 6, AVERAGE: 1.1666666
NAME: asmailov-IMG_Encryption.jar, ROWS: 1, AVERAGE: 1.0
NAME: Hazmatius-Shapemaker.jar, ROWS: 4, AVERAGE: 1.5
NAME: dangth-Remote-Desktop-java.jar, ROWS: 1, AVERAGE: 2.0
NAME: persts-MultispectralFeatureSpaceInteractive.jar, ROWS: 1, AVERAGE: 2.0
NAME: joeljeske-qz-print-2.jar, ROWS: 14, AVERAGE: 2.857143
NAME: Yoda066-ICEGraphicViewer.jar, ROWS: 1, AVERAGE: 1.0
NAME: suvethak-CloudSecurity.jar, ROWS: 2, AVERAGE: 2.5
NAME: GroupForHDU3-AcmStepPrototype.jar, ROWS: 1, AVERAGE: 1.0
NAME: TimDarin-Asteroids.jar, ROWS: 15, AVERAGE: 3.3333333
NAME: henke101-DataStrukt3.jar, ROWS: 2, AVERAGE: 1.0
NAME: aerlinn-traffic.jar, ROWS: 9, AVERAGE: 1.8888888
NAME: Yotta92-TowerDefence_game.jar, ROWS: 5, AVERAGE: 1.2
NAME: litianbo-USC2013SPRINGCS201.jar, ROWS: 16, AVERAGE: 2.0
NAME: PHollmann-EField.jar, ROWS: 1, AVERAGE: 3.0
NAME: dlknowles-5185AI-FinalProject-LittleFeeders.jar, ROWS: 22, AVERAGE: 1.8636364
NAME: yangshangshe-workflowdesigner.jar, ROWS: 4, AVERAGE: 1.75
NAME: waveq-K.jar, ROWS: 1, AVERAGE: 2.0
NAME: entropian-Gangweb.jar, ROWS: 1, AVERAGE: 3.0
NAME: alexey-komarov-vector.jar, ROWS: 1, AVERAGE: 1.0
NAME: cyberpython-BMach.jar, ROWS: 6, AVERAGE: 1.5
NAME: cyangx-430Project3.jar, ROWS: 1, AVERAGE: 1.0
NAME: ShaiW-Tecs-3.jar, ROWS: 2, AVERAGE: 3.0
NAME: lukacu-coffeeshop.jar, ROWS: 35, AVERAGE: 2.2285714
NAME: IzIWeron-Movie-Analyser.jar, ROWS: 4, AVERAGE: 1.0
NAME: Penspinner-HW4.jar, ROWS: 9, AVERAGE: 4.0
NAME: lclc98-Irc-Client.jar, ROWS: 1, AVERAGE: 1.0
NAME: Feni-nuMethods.jar, ROWS: 3, AVERAGE: 1.0
NAME: Carlos-Descalzi-jturtle.jar, ROWS: 7, AVERAGE: 2.5714285
NAME: sbastn-com.happyprog.pulse.jar, ROWS: 1, AVERAGE: 1.0
NAME: JohRus-MT.jar, ROWS: 43, AVERAGE: 2.5348837
NAME: sasadmin-CommitHistory-1.0.jar, ROWS: 2, AVERAGE: 1.5
NAME: tscheims1-connect4.jar, ROWS: 1, AVERAGE: 1.0
NAME: EpicZerg-InvasionBeach.jar, ROWS: 8, AVERAGE: 1.625
NAME: psigen-robotutils.jar, ROWS: 20, AVERAGE: 2.3
NAME: amruthv-FindAPath.jar, ROWS: 6, AVERAGE: 1.3333334
NAME: ThomasFooteDQ-DroidQuest.jar, ROWS: 3, AVERAGE: 1.3333334
NAME: FlaShG-SEP12.jar, ROWS: 1, AVERAGE: 1.0
NAME: isaac9422-ContestProgramming.jar, ROWS: 1, AVERAGE: 1.0
NAME: thomasleese-U_1F47B.jar, ROWS: 24, AVERAGE: 2.0
NAME: jboreiko-brainStormProject.jar, ROWS: 12, AVERAGE: 1.0
NAME: khodzha-Impedance.jar, ROWS: 4, AVERAGE: 2.0
NAME: uvNikita-BubbleDiagramDrawer.jar, ROWS: 1, AVERAGE: 1.0
NAME: kivan-mih-RecoVisualizator.jar, ROWS: 5, AVERAGE: 2.2
NAME: ykg2910-GMM.jar, ROWS: 1, AVERAGE: 1.0
NAME: dennycd-rna-dv.jar, ROWS: 8, AVERAGE: 2.75
NAME: tkmcnally-COMP3203-2012.jar, ROWS: 1, AVERAGE: 1.0
NAME: timboe-RPSRTS.jar, ROWS: 18, AVERAGE: 2.3888888
NAME: vInsertOfficial-vInsert.jar, ROWS: 6, AVERAGE: 2.1666667
NAME: lucasdoamaral-2048.jar, ROWS: 3, AVERAGE: 1.0
NAME: sha-sha-NewOrion.jar, ROWS: 2, AVERAGE: 2.0
NAME: mikaelm12-6005project-phase2.jar, ROWS: 7, AVERAGE: 2.4285715
NAME: mike-n-7-Prometheus.jar, ROWS: 16, AVERAGE: 2.0625
NAME: asjad99-Sketch.jar, ROWS: 5, AVERAGE: 1.2
NAME: kstiges-Lab2.jar, ROWS: 17, AVERAGE: 3.0588236
NAME: eujing-EquilibriumSimulation.jar, ROWS: 2, AVERAGE: 1.0
NAME: robinos-KB.jar, ROWS: 1, AVERAGE: 2.0
NAME: mperret-Sudoku-Solver.jar, ROWS: 3, AVERAGE: 1.3333334
NAME: harlanhowe-RelationshipsPJE.jar, ROWS: 1, AVERAGE: 2.0
NAME: marcus13345-HoboEscape.jar, ROWS: 3, AVERAGE: 1.0
NAME: mindrunner-funCKit.jar, ROWS: 47, AVERAGE: 1.6382979
NAME: lhansford-COMP7702.jar, ROWS: 33, AVERAGE: 2.2424242
NAME: kikmak42-Geometry-OOP.jar, ROWS: 1, AVERAGE: 1.0
NAME: htw-imi-info1-exercise02.jar, ROWS: 1, AVERAGE: 1.0
NAME: kartikc27-cs201-simcity.jar, ROWS: 4, AVERAGE: 1.25
NAME: mrg58-ProgrammingByDoing.jar, ROWS: 1, AVERAGE: 2.0
NAME: caseymonc-bzragent.jar, ROWS: 1, AVERAGE: 1.0
NAME: JarrodBlanton-2605Project.jar, ROWS: 1, AVERAGE: 2.0
NAME: dhadka-DGantt.jar, ROWS: 21, AVERAGE: 2.1904762
NAME: yamazon3-ArmpoonRepoTest.jar, ROWS: 2, AVERAGE: 1.0
NAME: RoboSquirt-java.jar, ROWS: 25, AVERAGE: 2.44
NAME: dmishin-Pentagrid.jar, ROWS: 7, AVERAGE: 1.2857143
NAME: mikelrob-Colourtastic.jar, ROWS: 1, AVERAGE: 3.0
NAME: DeltaCore-FabFileConverter.jar, ROWS: 1, AVERAGE: 1.0
NAME: AlexGreulich-MG2Game.jar, ROWS: 1, AVERAGE: 2.0
NAME: shylux-shyview.jar, ROWS: 2, AVERAGE: 1.0
NAME: gmalmquist-PrereqVis.jar, ROWS: 1, AVERAGE: 1.0
NAME: GurrajAtwal-TetrisGA.jar, ROWS: 5, AVERAGE: 1.0
NAME: VincentSteil-Karatsuba-Offman-Algorithm.jar, ROWS: 1, AVERAGE: 3.0
NAME: amrainder-all-java.jar, ROWS: 3, AVERAGE: 2.0
NAME: huiwq1990-QQ.jar, ROWS: 1, AVERAGE: 1.0
NAME: schulzca-StarCraft.jar, ROWS: 1, AVERAGE: 1.0
NAME: randysecrist-GEdit.jar, ROWS: 6, AVERAGE: 1.8333334
NAME: lerks-Billiard.jar, ROWS: 7, AVERAGE: 3.5714285
NAME: deepubansal-Snooker.jar, ROWS: 11, AVERAGE: 1.7272727
NAME: tomwhite-facebender.jar, ROWS: 15, AVERAGE: 3.1333334
NAME: tbekas-algorytmytsp.jar, ROWS: 4, AVERAGE: 3.0
NAME: AppleJuiceStudios-IH11-Game.jar, ROWS: 5, AVERAGE: 1.8
NAME: mukris-asteroid.jar, ROWS: 5, AVERAGE: 1.8
NAME: firejake308-code-versus-bugs.jar, ROWS: 16, AVERAGE: 1.75
NAME: ygun-javaNetSim.ng.jar, ROWS: 2, AVERAGE: 2.0
NAME: mwelsman-Misc.jar, ROWS: 7, AVERAGE: 1.7142857
NAME: TripleTrollTrupe-DCOP.jar, ROWS: 1, AVERAGE: 2.0
NAME: Tonnu-YAPT.jar, ROWS: 2, AVERAGE: 1.0
NAME: cgunning-AVALG-TSP2.jar, ROWS: 1, AVERAGE: 2.0
NAME: jakeonaut-npc-quest.jar, ROWS: 16, AVERAGE: 2.75
NAME: numenorean95-MechanicalMan.jar, ROWS: 1, AVERAGE: 5.0
NAME: pdsanchez-bcs2g.jar, ROWS: 2, AVERAGE: 4.0
NAME: etothepii-williampittjr.jar, ROWS: 2, AVERAGE: 1.0
NAME: johnog65536-elipse.jar, ROWS: 1, AVERAGE: 2.0
NAME: abhi1992-EliteComixReader.jar, ROWS: 2, AVERAGE: 3.0
NAME: AwFiddlesticks-broomball_simulator.jar, ROWS: 1, AVERAGE: 4.0
NAME: nardinan-submarine.jar, ROWS: 2, AVERAGE: 1.0
NAME: agargara-cp360-graphics.jar, ROWS: 16, AVERAGE: 1.8125
NAME: jelmervdl-strategery.jar, ROWS: 1, AVERAGE: 3.0
NAME: GroupForHDU3-AcmHelper.jar, ROWS: 1, AVERAGE: 1.0
NAME: rkreiter-javaProject4.jar, ROWS: 2, AVERAGE: 2.0
NAME: behnam-java-quoridorai.jar, ROWS: 7, AVERAGE: 2.142857
NAME: Dakror-VillageDefense.jar, ROWS: 36, AVERAGE: 1.1388888
NAME: d1x-millionaire.jar, ROWS: 1, AVERAGE: 1.0
NAME: Flikalb-Logo-Interpreter.jar, ROWS: 7, AVERAGE: 1.0
NAME: dreamtitan-JavaGameEasyMode.jar, ROWS: 4, AVERAGE: 2.0
NAME: laTruffe79-InscriptionsClient.jar, ROWS: 1, AVERAGE: 1.0
NAME: angelatlarge-SynTopiary.jar, ROWS: 8, AVERAGE: 3.375
NAME: xesj-Labirintus.jar, ROWS: 1, AVERAGE: 1.0
NAME: ivangayton-Joekit.jar, ROWS: 1, AVERAGE: 4.0
NAME: mstojcevich-GridRace.jar, ROWS: 9, AVERAGE: 2.1111112
NAME: GeoffreyLong-EC_AssignmentOne.jar, ROWS: 1, AVERAGE: 1.0
NAME: mathieudutour-Optelec.jar, ROWS: 23, AVERAGE: 1.3478261
NAME: RahulBhoopalam-Compiler.jar, ROWS: 1, AVERAGE: 1.0
NAME: Hosuki-Tarea_3_POO_final.jar, ROWS: 19, AVERAGE: 2.0
NAME: koroshiya-SKR.jar, ROWS: 2, AVERAGE: 7.5
NAME: DeltaGeek-EU4Tool.jar, ROWS: 2, AVERAGE: 1.5
NAME: michaelbrooks-music-visualization.jar, ROWS: 1, AVERAGE: 1.0
NAME: michael-lim-pd3-final-lawrence-michael-lim2.jar, ROWS: 32, AVERAGE: 1.90625
NAME: alin-github-leap-house.jar, ROWS: 9, AVERAGE: 1.0
NAME: TheZenti-BSGClock.jar, ROWS: 1, AVERAGE: 2.0
NAME: BenMcH-Game-Engine.jar, ROWS: 3, AVERAGE: 3.0
NAME: lucasruchel-java-detetive.jar, ROWS: 1, AVERAGE: 1.0
NAME: PeterDrake-Carcassonne-Language.jar, ROWS: 2, AVERAGE: 1.5
NAME: mohamedmsg-Grade-Tracker.jar, ROWS: 1, AVERAGE: 1.0
NAME: conquerYa-JavaProjects.jar, ROWS: 1, AVERAGE: 1.0
NAME: ValentinMumble-gli-tp1.jar, ROWS: 2, AVERAGE: 1.0
NAME: tfasulo-Netpaint.jar, ROWS: 2, AVERAGE: 1.5
NAME: TaylorHuston-Java_InputOutput.jar, ROWS: 13, AVERAGE: 1.4615384
NAME: joelmoniz-Shape-Sketch.jar, ROWS: 4, AVERAGE: 2.75
NAME: lleontan-bloodmud_thuglife365.jar, ROWS: 1, AVERAGE: 4.0
NAME: Bvink-WildTornado.jar, ROWS: 7, AVERAGE: 1.5714285
NAME: ESCRIBA-lenient-pdf-compare.jar, ROWS: 111, AVERAGE: 2.7837837
NAME: anandr86-Graphito.jar, ROWS: 28, AVERAGE: 1.0714285
NAME: ivan94-OOPNP.jar, ROWS: 12, AVERAGE: 1.8333334
NAME: justinkim-ricoche.jar, ROWS: 5, AVERAGE: 1.4
NAME: fisherevans-LRK.jar, ROWS: 2, AVERAGE: 7.5
NAME: chimerast-teddy-clone.jar, ROWS: 7, AVERAGE: 3.5714285
NAME: concord-consortium-mw.jar, ROWS: 343, AVERAGE: 2.03207
NAME: ibc-salesio-notice-board.jar, ROWS: 1, AVERAGE: 1.0
NAME: CrazedTomato-Games-Assortment.jar, ROWS: 2, AVERAGE: 1.0
NAME: horotho-Game.jar, ROWS: 1, AVERAGE: 2.0
NAME: nnhsapcs201415-unit6MediaComp.jar, ROWS: 2, AVERAGE: 3.5
NAME: petryjc-Ascension.jar, ROWS: 4, AVERAGE: 1.75
NAME: sschivo-ANIMO.jar, ROWS: 11, AVERAGE: 1.7272727
NAME: easai-TimeLine.jar, ROWS: 1, AVERAGE: 2.0
NAME: radekko-pong.jar, ROWS: 1, AVERAGE: 1.0
NAME: Toastation-Insert-coin.jar, ROWS: 17, AVERAGE: 2.4705882
NAME: curran23-Texas-Hold-Em.jar, ROWS: 1, AVERAGE: 1.0
NAME: wolfbing-roadrunner.jar, ROWS: 16, AVERAGE: 3.0
NAME: thebombzen-Tanks.jar, ROWS: 16, AVERAGE: 2.125
NAME: zawadzkipiter-ballanimation.jar, ROWS: 1, AVERAGE: 1.0
NAME: DeanMauro-Train-Controller.jar, ROWS: 3, AVERAGE: 1.3333334
NAME: jl3931-Sheepdog.jar, ROWS: 2, AVERAGE: 1.5
NAME: entertailion-Fling.jar, ROWS: 1, AVERAGE: 10.0
NAME: FluidBot-Fluid.jar, ROWS: 3, AVERAGE: 3.0
NAME: Defrocked-cs245.jar, ROWS: 2, AVERAGE: 1.0
NAME: fastcatgroup-dwg-filter.jar, ROWS: 33, AVERAGE: 1.8484849
NAME: efferus20-CraneGame.jar, ROWS: 11, AVERAGE: 2.7272727
NAME: perfectbit-MyPhotos.jar, ROWS: 1, AVERAGE: 1.0
NAME: karashak1-AbstractAlgebra.jar, ROWS: 1, AVERAGE: 1.0
NAME: patricklucas-4731_finalproj_learning.jar, ROWS: 7, AVERAGE: 1.1428572
NAME: jake-white-DungeonCrawler.jar, ROWS: 1, AVERAGE: 3.0
NAME: PetarV--CSTIA-Ticks.jar, ROWS: 1, AVERAGE: 2.0
NAME: CJxD-JavaAuctionSystem.jar, ROWS: 1, AVERAGE: 1.0
NAME: 181dev-JOutliner.jar, ROWS: 5, AVERAGE: 1.6
NAME: Kimundi-jtmx.jar, ROWS: 1, AVERAGE: 2.0
NAME: alnasfire-printapp.jar, ROWS: 1, AVERAGE: 1.0
NAME: indy1515-Milestone_ACM.jar, ROWS: 1, AVERAGE: 7.0
NAME: JerameyATyler-Research.jar, ROWS: 8, AVERAGE: 6.375
NAME: gittar-demogng.jar, ROWS: 2, AVERAGE: 2.0
NAME: chilimannen-HalloweenMemory.jar, ROWS: 2, AVERAGE: 1.0
NAME: kerry-wei-FlowerPattern.jar, ROWS: 13, AVERAGE: 2.0769231
NAME: ubaldino-sawersblock.jar, ROWS: 79, AVERAGE: 2.9240506
NAME: melzer-Java2D-Platformer.jar, ROWS: 2, AVERAGE: 3.0
NAME: crod951-Sundial.jar, ROWS: 2, AVERAGE: 1.0
NAME: ScottSamson-CSC-421-Prog2.jar, ROWS: 1, AVERAGE: 4.0
NAME: tyandl-NFAsimulator.jar, ROWS: 5, AVERAGE: 1.2
NAME: Danny987-ZamZams.jar, ROWS: 6, AVERAGE: 1.8333334
NAME: bonnebonne-GUIAssignment2.jar, ROWS: 1, AVERAGE: 5.0
NAME: theguyontheleft-MemoryManager.jar, ROWS: 14, AVERAGE: 2.7142856
NAME: gootara-org-ios-image-util.jar, ROWS: 1, AVERAGE: 1.0
NAME: l2eady-OOP.jar, ROWS: 1, AVERAGE: 1.0
NAME: jeshua-norc.jar, ROWS: 1, AVERAGE: 1.0
NAME: Gebuz-Group-B.jar, ROWS: 15, AVERAGE: 1.6666666
NAME: Lachee-Village-Project.jar, ROWS: 2, AVERAGE: 1.0
NAME: sebastianhaeni-Swing-Labyrinth.jar, ROWS: 1, AVERAGE: 1.0
NAME: adasgupt-Pargnostics.jar, ROWS: 7, AVERAGE: 1.7142857
NAME: michaltd-tatoo.jar, ROWS: 1, AVERAGE: 4.0
NAME: petekinnecom-transient2_level_editor.jar, ROWS: 4, AVERAGE: 4.0
NAME: samisaf-Algorithms.jar, ROWS: 13, AVERAGE: 1.4615384
NAME: ulisseslima-games.jar, ROWS: 5, AVERAGE: 2.6
